店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
"","",214,リカー,3.0,5.0,29.0,49.0,63.0,83.0,103.0,125.0,177.0
"","",221,デイリーフーズ,5.0,31.0,100.0,184.0,269.0,317.0,394.0,485.0,590.0
0000095860,イオン荒川アコス, ,イオン荒川アコス計,14.0,55.0,182.0,260.0,349.0,427.0,498.0,562.0,654.0
"","",211,グロサリー,5.0,24.0,72.0,107.0,142.0,180.0,213.0,242.0,284.0
"","",214,リカー,2.0,12.0,52.0,61.0,78.0,84.0,93.0,102.0,117.0
"","",221,デイリーフーズ,7.0,19.0,59.0,93.0,129.0,162.0,192.0,218.0,253.0
0000001610,高岡南, ,高岡南計,73.0,189.0,400.0,687.0,994.0,1273.0,1633.0,1979.0,2291.0
"","",211,グロサリー,39.0,92.0,217.0,360.0,519.0,684.0,868.0,1070.0,1230.0
"","",214,リカー,7.0,16.0,38.0,68.0,111.0,136.0,191.0,225.0,249.0
"","",221,デイリーフーズ,28.0,81.0,145.0,258.0,364.0,453.0,574.0,684.0,813.0
0000001850,高崎　　　　　　　, ,高崎　　　　　　　計,26.0,170.0,363.0,696.0,1021.0,1298.0,1687.0,2040.0,2473.0
"","",211,グロサリー,13.0,91.0,195.0,392.0,560.0,707.0,924.0,1098.0,1300.0
"","",214,リカー,0.0,16.0,46.0,63.0,92.0,123.0,158.0,195.0,246.0
"","",221,デイリーフーズ,13.0,64.0,122.0,241.0,368.0,468.0,604.0,747.0,927.0
0000002140,熊谷, ,熊谷計,16.0,58.0,163.0,339.0,480.0,613.0,747.0,886.0,1109.0
"","",211,グロサリー,4.0,26.0,76.0,169.0,235.0,303.0,377.0,447.0,566.0
"","",214,リカー,0.0,3.0,7.0,18.0,32.0,46.0,57.0,66.0,88.0
"","",221,デイリーフーズ,11.0,29.0,79.0,153.0,212.0,264.0,313.0,372.0,455.0
0000002200,新潟西, ,新潟西計,16.0,103.0,245.0,431.0,603.0,778.0,1006.0,1236.0,1440.0
"","",211,グロサリー,9.0,41.0,109.0,198.0,276.0,353.0,457.0,566.0,659.0
"","",214,リカー,2.0,28.0,53.0,72.0,93.0,132.0,164.0,194.0,217.0
"","",221,デイリーフーズ,5.0,34.0,83.0,161.0,233.0,293.0,385.0,476.0,564.0
0000002620,日の出, ,日の出計,92.0,348.0,902.0,1616.0,2431.0,3087.0,3950.0,4804.0,5649.0
"","",211,グロサリー,37.0,149.0,398.0,701.0,1106.0,1407.0,1790.0,2174.0,2574.0
"","",214,リカー,15.0,65.0,133.0,210.0,311.0,385.0,519.0,658.0,772.0
"","",221,デイリーフーズ,40.0,135.0,371.0,705.0,1013.0,1295.0,1640.0,1972.0,2302.0
0000006080,銚子　　　　　　　, ,銚子　　　　　　　計,14.0,71.0,192.0,416.0,583.0,758.0,923.0,1145.0,1399.0
"","",211,グロサリー,8.0,38.0,106.0,226.0,307.0,403.0,488.0,605.0,734.0
"","",214,リカー,1.0,9.0,27.0,41.0,44.0,50.0,68.0,89.0,109.0
"","",221,デイリーフーズ,5.0,24.0,60.0,149.0,231.0,305.0,367.0,452.0,557.0
0000017880,南砂, ,南砂計,120.0,372.0,789.0,1322.0,2021.0,2692.0,3309.0,3858.0,4720.0
"","",211,グロサリー,59.0,181.0,377.0,596.0,923.0,1246.0,1532.0,1787.0,2169.0
"","",214,リカー,9.0,32.0,65.0,142.0,218.0,292.0,381.0,446.0,597.0
"","",221,デイリーフーズ,52.0,159.0,347.0,584.0,880.0,1154.0,1396.0,1626.0,1954.0
0000024280,久里浜, ,久里浜計,99.0,370.0,790.0,1395.0,1903.0,2441.0,2981.0,3520.0,4019.0
"","",211,グロサリー,48.0,192.0,386.0,677.0,911.0,1174.0,1438.0,1706.0,1953.0
"","",214,リカー,14.0,48.0,80.0,151.0,187.0,228.0,294.0,346.0,389.0
"","",221,デイリーフーズ,37.0,131.0,325.0,567.0,806.0,1039.0,1249.0,1468.0,1677.0
0000003510,橋本, ,橋本計,64.0,178.0,450.0,796.0,1229.0,1531.0,1936.0,2287.0,2700.0
"","",211,グロサリー,39.0,95.0,215.0,376.0,542.0,680.0,880.0,1039.0,1227.0
"","",214,リカー,5.0,16.0,40.0,73.0,153.0,185.0,228.0,266.0,311.0
"","",221,デイリーフーズ,20.0,67.0,195.0,346.0,534.0,666.0,827.0,982.0,1162.0
0000006090,むさし村山, ,むさし村山計,83.0,248.0,639.0,1203.0,1766.0,2400.0,3113.0,3827.0,4563.0
"","",211,グロサリー,39.0,117.0,311.0,549.0,806.0,1121.0,1474.0,1788.0,2118.0
"","",214,リカー,8.0,18.0,43.0,101.0,152.0,211.0,289.0,367.0,437.0
